date, pm25, pm10, o3, no2, so2, co
2020/3/1, 63, 33, 36, 20, 5, 5
2020/3/2, 63, 31, 35, 16, 3, 5
2020/3/3, 41, 25, 50, 16, 3, 4
2020/3/4, 42, 41, 80, 23, 16, 6
2020/3/5, 66, 50, 37, 25, 25, 6
2020/3/6, 96, 55, 72, 25, 17, 6
2020/3/7, 111, 35, 76, 18, 15, 5
2020/3/8, 70, 38, 69, 17, 15, 4
2020/3/9, 71, 44, 79, 22, 14, 5
2020/3/10, 78, 37, 50, 25, 17, 6
2020/3/11, 72, 32, 83, 15, 5, 4
2020/3/12, 55, 35, 66, 19, 3, 5
2020/3/13, 60, 35, 68, 13, 7, 3
2020/3/14, 57, 31, 59, 13, 8, 3
2020/3/15, 61, 29, 40, 14, 9, 3
2020/3/16, 56, 23, 35, 17, 3, 4
2020/3/17, 55, , , , , 
2020/3/19, 78, 27, 64, 14, 4, 4
2020/3/20, 57, 33, 79, 9, 3, 3
2020/3/21, 75, 27, 75, 10, 5, 3
2020/3/22, 65, 29, 80, 14, 4, 3
2020/3/23, 56, 29, 77, 18, 5, 4
2020/3/24, 59, 31, 103, 11, 3, 4
2020/3/25, 62, 44, 64, 12, 9, 4
2020/3/26, 90, 32, 47, 17, 3, 4
2020/3/27, 61, 37, 70, 11, 4, 4
2020/3/28, 74, 45, 32, 8, 2, 3
2020/3/29, 66, , , , , 
2020/2/1, 63, 30, 48, 21, 14, 6
2020/2/2, 69, 17, 26, 9, 3, 4
2020/2/3, 31, 11, 20, 12, 3, 5
2020/2/4, 21, 8, 17, 8, , 3
2020/2/5, 18, 13, 34, 12, 3, 3
2020/2/6, 25, 23, 43, 24, 4, 7
2020/2/7, 42, 19, 60, 15, 3, 4
2020/2/8, 40, 19, 61, 13, 3, 4
2020/2/9, 45, 23, 53, 17, 6, 5
2020/2/10, 45, 28, 66, 18, 6, 5
2020/2/11, 57, 23, 46, 15, 3, 4
2020/2/12, 47, 30, 44, 25, 5, 7
2020/2/13, 57, 38, 103, 15, , 5
2020/2/14, 82, , , , , 
2020/2/17, 57, 30, 47, 24, 8, 8
2020/2/18, 54, 41, 72, 33, 14, 7
2020/2/19, 70, 42, 46, 21, 7, 5
2020/2/20, 69, 32, 52, 13, 10, 4
2020/2/21, 54, 37, 90, 19, 13, 5
2020/2/22, 64, 36, 96, 15, 4, 5
2020/2/23, 66, 33, 54, 12, 4, 4
2020/2/24, 54, 22, 37, 15, 3, 4
2020/2/25, 36, 31, 55, 19, 14, 4
2020/2/26, 50, 44, 55, 25, 15, 6
2020/2/27, 72, 42, 76, 23, 9, 6
2020/2/28, 67, 36, 65, 21, 8, 5
2020/2/29, 65, 32, 80, 16, 5, 5
2020/1/1, 29, 11, 22, 4, 2, 1
2020/1/2, 19, 21, 37, 18, 3, 4
2020/1/3, 29, 41, 50, 28, 13, 7
2020/1/4, 83, 30, 59, 23, 10, 6
2020/1/5, 70, 50, 86, 38, 13, 10
2020/1/6, 107, 37, 43, 22, 16, 5
2020/1/7, 64, 45, 79, 30, 10, 8
2020/1/8, 85, 44, 70, 25, 6, 7
2020/1/9, 81, 30, 43, 23, 4, 6
2020/1/10, 55, 26, 62, 18, 3, 5
2020/1/11, 52, 38, 63, 22, 11, 7
2020/1/12, 76, 35, 65, 23, 5, 7
2020/1/13, 68, 33, 28, 23, 7, 6
2020/1/14, 58, 35, 50, 18, 9, 5
2020/1/15, 60, 40, 49, 16, 8, 4
2020/1/16, 76, 27, 17, 18, 10, 5
2020/1/17, 53, , , , , 
2020/1/20, 56, 25, 33, 22, 3, 6
2020/1/21, 61, 29, 53, 20, 9, 6
2020/1/22, 67, 25, 26, 24, 6, 7
2020/1/23, 51, 22, 31, 17, 4, 5
2020/1/24, 48, 23, 34, 16, 4, 5
2020/1/25, 50, 15, 36, 13, 6, 4
2020/1/26, 37, 18, 39, 15, 5, 4
2020/1/27, 36, 14, 51, 16, 3, 4
2020/1/28, 24, 18, 38, 13, 9, 4
2020/1/29, 31, 19, 26, 18, 3, 5
2020/1/30, 30, 15, 43, 14, 3, 3
2020/1/31, 25, 29, 45, 22, 23, 5
2019/10/1, 42, 16, 52, 16, 2, 4
2019/10/2, 39, 17, 53, 16, 2, 4
2019/10/3, 40, 21, 66, 22, 3, 5
2019/10/4, 51, 24, 46, 15, 7, 4
2019/10/5, 59, 18, 66, 12, 3, 3
2019/10/6, 48, 14, 36, 13, 2, 3
2019/10/7, 31, 12, 22, 15, 2, 3
2019/10/8, 28, 16, 54, 17, 3, 3
2019/10/9, 42, 20, 37, 15, 6, 4
2019/10/10, 53, 22, 43, 20, 4, 5
2019/10/11, 52, 18, 48, 14, 2, 3
2019/10/12, 45, 21, 61, 14, 6, 4
2019/10/13, 59, 21, 51, 17, 6, 4
2019/10/14, 41, 28, 69, 20, 9, 6
2019/10/15, 57, 19, 12, 18, 9, 4
2019/10/16, 49, 9, 2, 18, 2, 5
2019/10/17, 31, 12, 24, 18, 3, 7
2019/10/18, 32, 12, 35, 13, 2, 4
2019/10/19, 32, 6, 20, 10, 2, 4
2019/10/20, 17, 12, 36, 20, 3, 6
2019/10/21, 26, 20, 26, 19, 4, 4
2019/10/22, 50, 19, 38, 18, 5, 4
2019/10/23, 50, 20, 36, 23, 3, 5
2019/10/24, 53, 28, 30, 23, 6, 6
2019/10/25, 79, 18, 37, 18, 2, 4
2019/10/26, 54, 23, 77, 16, 5, 5
2019/10/27, 71, 33, 67, 31, 3, 9
2019/10/28, 88, 29, 42, 26, 3, 8
2019/10/29, 74, 28, 37, 28, 2, 7
2019/10/30, 77, 16, 22, 19, 3, 5
2019/10/31, 43, 27, 47, 23, 6, 6
2019/11/1, 66, 24, 19, 21, 12, 5
2019/11/2, 60, 13, 37, 14, 4, 4
2019/11/3, 42, 29, 55, 23, 4, 6
2019/11/4, 73, 25, 43, 23, 5, 5
2019/11/5, 64, 17, 41, 18, 7, 4
2019/11/6, 45, 21, 43, 20, 7, 5
2019/11/7, 45, 18, 40, 16, 5, 3
2019/11/8, 40, 14, 37, 15, 6, 3
2019/11/9, 32, 18, 50, 17, 6, 5
2019/11/10, 50, 27, 44, 22, 4, 6
2019/11/11, 63, 19, 42, 17, 5, 4
2019/11/12, 46, 12, 27, 13, 6, 4
2019/11/13, 23, 18, 38, 22, 3, 6
2019/11/14, 35, 28, 48, 22, 4, 5
2019/11/15, 68, 37, 38, 29, 13, 7
2019/11/16, 84, 22, 61, 16, 5, 4
2019/11/17, 59, 16, 46, 14, 3, 3
2019/11/18, 44, 32, 61, 24, 6, 6
2019/11/19, 77, 33, 36, 25, 5, 6
2019/11/20, 71, 42, 44, 31, 6, 9
2019/11/21, 85, 35, 45, 27, 5, 8
2019/11/22, 66, 30, 55, 22, 8, 5
2019/11/23, 59, 31, 48, 18, 9, 5
2019/11/24, 71, 30, 52, 23, 4, 6
2019/11/25, 67, 27, 17, 24, 3, 6
2019/11/26, 60, 39, 66, , 6, 7
2019/11/27, 75, 31, 37, , 7, 7
2019/11/28, 58, 28, 47, , 8, 6
2019/11/29, 55, 36, 60, , 7, 7
2019/11/30, 73, 26, 46, , 3, 3
2019/12/1, 49, 34, 50, , 6, 5
2019/12/2, 72, 34, 45, 27, 6, 6
2019/12/3, 68, 32, 67, 28, 5, 6
2019/12/4, 62, 35, 60, 32, 6, 7
2019/12/5, 62, 30, 34, 26, 5, 6
2019/12/6, 47, 34, 53, 29, 7, 6
2019/12/7, 69, 40, 82, 24, 8, 7
2019/12/8, 84, 33, 56, 30, 5, 8
2019/12/9, 58, 40, 66, 30, 4, 7
2019/12/10, 73, 44, 49, , 7, 6
2019/12/11, 92, 38, 35, 28, 6, 7
2019/12/12, 80, 30, 37, 23, 3, 6
2019/12/13, 58, 33, 56, 24, 4, 7
2019/12/14, 66, 40, 82, 23, 4, 7
2019/12/15, 85, 34, 54, 26, 3, 7
2019/12/16, 69, 40, 47, 25, 7, 7
2019/12/17, 78, 59, 31, 34, 14, 8
2019/12/18, 120, 61, 73, 36, 12, 10
2019/12/19, 128, 51, 29, 41, 13, 10
2019/12/20, 108, 44, 35, 25, 16, 6
2019/12/21, 95, 40, 13, 20, 15, 6
2019/12/22, 94, 40, 57, 21, 7, 7
2019/12/23, 94, 26, 30, 20, 5, 6
2019/12/24, 61, 33, 67, 14, 4, 5
2019/12/25, 87, 29, 50, 23, 7, 6
2019/12/26, 66, 43, 68, 25, 7, 7
2019/12/27, 91, 29, 17, 18, 3, 5
2019/12/28, 75, , , , , 
2019/7/1, 30, 14, 34, 19, 1, 4
2019/7/2, 37, 18, 45, 19, 1, 5
2019/7/3, 41, 31, 63, 18, 6, 5
2019/7/4, 71, 31, 74, 19, 4, 5
2019/7/5, 68, 23, 47, 14, 2, 3
