Hora,CO_M,NO2_M,NOx_M,SO2_M,O3_M,TMP_M,DV_M,VV_M,HR_M,CO_P,NO2_P,NOx_P,SO2_P,O3_P,TMP_P,DV_P,VV_P,HR_P,CO_T,NO2_T,NOx_T,SO2_T,O3_T,TMP_T,DV_T,VV_T,HR_T,CO_X,NO2_X,NOx_X,SO2_X,O3_X,TMP_X,DV_X,VV_X,HR_X
3:00 - 4:00,"(1.678, 1.85]","(0.0332, 0.038]","(0.0729, 0.0891]","(0.000902, 0.00644]","(0.000889, 0.00717]","(10.189, 11.211]","(120.0, 140.0]","(2.172, 3.244]","(65.333, 70.278]","(0.733, 0.839]","(0.027, 0.0308]","(0.0328, 0.0418]","(0.000936, 0.00456]","(0.00906, 0.0161]","(9.5, 10.467]","(199.444, 219.389]","(3.889, 4.933]","(55.444, 59.667]","(1.311, 1.533]","(0.0266, 0.0314]","(0.0607, 0.0779]","(0.000884, 0.00744]","(0.000908, 0.00611]","(9.667, 10.756]","(240.333, 260.278]","(1.739, 2.878]","(65.333, 69.5]","(2.322, 2.611]","(0.0335, 0.039]","(0.102, 0.125]","(0.00578, 0.00956]","(0.00492, 0.00956]","(10.411, 11.389]","(60.833, 80.778]","(4.617, 6.089]","(58.667, 63.056]"
4:00 - 5:00,"(1.85, 2.022]","(0.038, 0.0428]","(0.0891, 0.105]","(0.00644, 0.0119]","(0.000889, 0.00717]","(9.167, 10.189]","(80.0, 100.0]","(3.244, 4.317]","(65.333, 70.278]","(0.417, 0.522]","(0.0155, 0.0193]","(0.0149, 0.0239]","(0.000936, 0.00456]","(0.0161, 0.0232]","(8.533, 9.5]","(179.5, 199.444]","(3.889, 4.933]","(42.778, 47.0]","(0.867, 1.089]","(0.0266, 0.0314]","(0.0434, 0.0607]","(0.000884, 0.00744]","(0.000908, 0.00611]","(8.578, 9.667]","(200.444, 220.389]","(1.739, 2.878]","(65.333, 69.5]","(2.033, 2.322]","(0.028, 0.0335]","(0.0788, 0.102]","(0.00578, 0.00956]","(0.00492, 0.00956]","(9.433, 10.411]","(40.889, 60.833]","(1.672, 3.144]","(58.667, 63.056]"
5:00 - 6:00,"(1.678, 1.85]","(0.0332, 0.038]","(0.0891, 0.105]","(0.00644, 0.0119]","(0.000889, 0.00717]","(9.167, 10.189]","(60.0, 80.0]","(1.081, 2.172]","(65.333, 70.278]","(0.628, 0.733]","(0.0193, 0.0232]","(0.0239, 0.0328]","(0.000936, 0.00456]","(0.00906, 0.0161]","(7.567, 8.533]","(219.389, 239.333]","(4.933, 5.978]","(47.0, 51.222]","(0.867, 1.089]","(0.0266, 0.0314]","(0.0262, 0.0434]","(0.000884, 0.00744]","(0.000908, 0.00611]","(7.489, 8.578]","(240.333, 260.278]","(2.878, 4.017]","(65.333, 69.5]","(2.9, 3.189]","(0.028, 0.0335]","(0.149, 0.172]","(0.00578, 0.00956]","(0.00492, 0.00956]","(9.433, 10.411]","(180.5, 200.444]","(0.174, 1.672]","(63.056, 67.444]"
6:00 - 7:00,"(2.194, 2.367]","(0.0332, 0.038]","(0.122, 0.138]","(0.000902, 0.00644]","(0.000889, 0.00717]","(8.144, 9.167]","(100.0, 120.0]","(2.172, 3.244]","(70.278, 75.222]","(0.311, 0.417]","(0.0117, 0.0155]","(0.0149, 0.0239]","(0.000936, 0.00456]","(0.0161, 0.0232]","(7.567, 8.533]","(199.444, 219.389]","(4.933, 5.978]","(42.778, 47.0]","(0.644, 0.867]","(0.0266, 0.0314]","(0.0262, 0.0434]","(0.000884, 0.00744]","(0.000908, 0.00611]","(7.489, 8.578]","(220.389, 240.333]","(0.58, 1.739]","(65.333, 69.5]","(2.611, 2.9]","(0.0225, 0.028]","(0.102, 0.125]","(0.00578, 0.00956]","(0.00492, 0.00956]","(8.456, 9.433]","(80.778, 100.722]","(1.672, 3.144]","(63.056, 67.444]"
7:00 - 8:00,"(1.85, 2.022]","(0.0283, 0.0332]","(0.0891, 0.105]","(0.000902, 0.00644]","(0.000889, 0.00717]","(8.144, 9.167]","(160.0, 180.0]","(2.172, 3.244]","(65.333, 70.278]","(0.417, 0.522]","(0.0155, 0.0193]","(0.0149, 0.0239]","(0.000936, 0.00456]","(0.00906, 0.0161]","(7.567, 8.533]","(219.389, 239.333]","(4.933, 5.978]","(47.0, 51.222]","(0.644, 0.867]","(0.0217, 0.0266]","(0.0262, 0.0434]","(0.000884, 0.00744]","(0.000908, 0.00611]","(6.38, 7.489]","(260.278, 280.222]","(2.878, 4.017]","(65.333, 69.5]","(2.322, 2.611]","(0.0225, 0.028]","(0.149, 0.172]","(0.00578, 0.00956]","(0.00492, 0.00956]","(8.456, 9.433]","(220.389, 240.333]","(0.174, 1.672]","(63.056, 67.444]"
8:00 - 9:00,"(1.506, 1.678]","(0.0283, 0.0332]","(0.0567, 0.0729]","(0.000902, 0.00644]","(0.00717, 0.0133]","(10.189, 11.211]","(160.0, 180.0]","(2.172, 3.244]","(55.444, 60.389]","(0.311, 0.417]","(0.0117, 0.0155]","(0.0149, 0.0239]","(0.000936, 0.00456]","(0.0232, 0.0302]","(10.467, 11.433]","(219.389, 239.333]","(3.889, 4.933]","(38.556, 42.778]","(0.867, 1.089]","(0.0217, 0.0266]","(0.0434, 0.0607]","(0.000884, 0.00744]","(0.00611, 0.0112]","(8.578, 9.667]","(280.222, 300.167]","(2.878, 4.017]","(57.0, 61.167]","(2.322, 2.611]","(0.039, 0.0445]","(0.125, 0.149]","(0.00578, 0.00956]","(0.00492, 0.00956]","(10.411, 11.389]","(220.389, 240.333]","(3.144, 4.617]","(58.667, 63.056]"
9:00 - 10:00,"(1.85, 2.022]","(0.0573, 0.0622]","(0.0729, 0.0891]","(0.000902, 0.00644]","(0.0257, 0.0318]","(12.233, 13.256]","(320.0, 340.0]","(4.317, 5.389]","(55.444, 60.389]","(0.417, 0.522]","(0.0117, 0.0155]","(0.0149, 0.0239]","(0.000936, 0.00456]","(0.0373, 0.0443]","(12.4, 13.367]","(19.944, 39.889]","(3.889, 4.933]","(42.778, 47.0]","(1.089, 1.311]","(0.0412, 0.0461]","(0.0607, 0.0779]","(0.00744, 0.0139]","(0.0266, 0.0317]","(11.844, 12.933]","(300.167, 320.111]","(2.878, 4.017]","(48.667, 52.833]","(1.744, 2.033]","(0.05, 0.0555]","(0.0788, 0.102]","(0.00578, 0.00956]","(0.0278, 0.0323]","(12.367, 13.344]","(100.722, 120.667]","(1.672, 3.144]","(49.889, 54.278]"
10:00 - 11:00,"(1.161, 1.333]","(0.0428, 0.0477]","(0.0404, 0.0567]","(0.000902, 0.00644]","(0.0565, 0.0627]","(14.278, 15.3]","(40.0, 60.0]","(4.317, 5.389]","(45.556, 50.5]","(0.522, 0.628]","(0.0193, 0.0232]","(0.0239, 0.0328]","(0.000936, 0.00456]","(0.0514, 0.0584]","(14.333, 15.3]","(19.944, 39.889]","(4.933, 5.978]","(38.556, 42.778]","(1.089, 1.311]","(0.051, 0.0559]","(0.0607, 0.0779]","(0.0203, 0.0268]","(0.0419, 0.047]","(14.022, 15.111]","(340.056, 360.0]","(4.017, 5.156]","(40.333, 44.5]","(1.456, 1.744]","(0.039, 0.0445]","(0.0556, 0.0788]","(0.00578, 0.00956]","(0.0506, 0.0551]","(15.3, 16.278]","(60.833, 80.778]","(1.672, 3.144]","(36.722, 41.111]"
11:00 - 12:00,"(0.989, 1.161]","(0.0283, 0.0332]","(0.0242, 0.0404]","(0.000902, 0.00644]","(0.075, 0.0812]","(16.322, 17.344]","(60.0, 80.0]","(5.389, 6.461]","(35.667, 40.611]","(0.733, 0.839]","(0.0232, 0.027]","(0.0239, 0.0328]","(0.000936, 0.00456]","(0.0796, 0.0867]","(16.267, 17.233]","(39.889, 59.833]","(5.978, 7.022]","(34.333, 38.556]","(0.422, 0.644]","(0.0217, 0.0266]","(0.0262, 0.0434]","(0.00744, 0.0139]","(0.0521, 0.0572]","(17.289, 18.378]","(20.944, 40.889]","(2.878, 4.017]","(27.833, 32.0]","(0.878, 1.167]","(0.017, 0.0225]","(0.00858, 0.0323]","(0.00193, 0.00578]","(0.0688, 0.0733]","(16.278, 17.256]","(60.833, 80.778]","(6.089, 7.561]","(32.333, 36.722]"
12:00 - 13:00,"(0.644, 0.817]","(0.0235, 0.0283]","(0.0242, 0.0404]","(0.000902, 0.00644]","(0.0812, 0.0873]","(18.367, 19.389]","(80.0, 100.0]","(5.389, 6.461]","(25.778, 30.722]","(0.839, 0.944]","(0.0308, 0.0347]","(0.0328, 0.0418]","(0.000936, 0.00456]","(0.115, 0.122]","(18.2, 19.167]","(59.833, 79.778]","(4.933, 5.978]","(30.111, 34.333]","(0.422, 0.644]","(0.0217, 0.0266]","(0.0262, 0.0434]","(0.000884, 0.00744]","(0.0777, 0.0828]","(19.467, 20.556]","(300.167, 320.111]","(0.58, 1.739]","(23.667, 27.833]","(0.878, 1.167]","(0.017, 0.0225]","(0.00858, 0.0323]","(0.00193, 0.00578]","(0.0824, 0.087]","(18.233, 19.211]","(80.778, 100.722]","(3.144, 4.617]","(23.556, 27.944]"
