date,pm25,pm10,o3,no2,so2,co
2020/3/1,85,51,23,41,6,14
2020/3/2,83,48,34,22,5,10
2020/3/3,51,42,33,28,4,10
2020/3/4,54,58,65,31,1,12
2020/3/5,71,65,36,32,1,11
2020/3/6,104,63,59,32,1,10
2020/3/7,113,49,71,26,1,10
2020/3/8,81,46,53,28,1,10
2020/3/9,75,55,73,31,11,10
2020/3/10,89,52,38,36,17,13
2020/3/11,92,55,66,36,4,12
2020/3/12,71,48,47,31,3,13
2020/3/13,70,54,65,28,7,10
2020/3/14,67,32,51,21,6,9
2020/3/15,57,34,35,22,15,9
2020/3/16,65,37,41,34,4,13
2020/3/17,73,,,,,
2020/3/27,70,52,71,22,3,10
2020/3/28,89,54,27,18,2,
2020/3/29,66,,,,,
2020/2/1,72,43,36,31,25,
2020/2/2,79,32,26,16,10,
2020/2/3,39,21,11,19,3,
2020/2/4,28,,,,,
2020/2/8,67,33,58,,4,12
2020/2/9,57,43,53,,5,13
2020/2/10,63,53,63,,6,13
2020/2/11,80,40,33,,4,11
2020/2/12,59,43,4,,5,15
2020/2/13,76,,,,,
2020/2/17,54,48,53,44,11,11
2020/2/18,66,57,59,45,14,11
2020/2/19,79,57,40,32,16,8
2020/2/20,84,29,55,21,5,9
2020/2/21,44,15,84,28,16,8
2020/2/22,36,53,87,34,6,10
2020/2/23,79,49,55,30,4,10
2020/2/24,64,36,34,25,4,9
2020/2/25,44,48,55,30,9,9
2020/2/26,63,48,48,29,15,8
2020/2/27,71,47,61,33,18,10
2020/2/28,65,46,60,36,17,9
2020/2/29,70,51,74,35,6,10
2020/1/1,50,25,18,11,2,6
2020/1/2,28,27,33,26,2,9
2020/1/3,33,57,40,36,13,11
2020/1/4,100,41,50,38,23,10
2020/1/5,74,60,61,55,32,16
2020/1/6,104,54,35,37,17,13
2020/1/7,71,52,49,39,15,12
2020/1/8,81,60,56,48,11,16
2020/1/9,90,52,39,32,4,14
2020/1/10,70,49,57,37,7,13
2020/1/11,75,47,47,30,23,11
2020/1/12,80,49,54,34,18,13
2020/1/13,75,49,47,30,9,13
2020/1/14,67,52,51,29,22,11
2020/1/15,75,57,48,24,15,9
2020/1/16,89,38,12,24,10,9
2020/1/17,55,,,,,
2020/1/20,48,37,33,30,11,12
2020/1/21,70,47,62,35,12,15
2020/1/22,92,42,22,32,7,13
2020/1/23,67,33,30,26,7,9
2020/1/24,54,39,34,21,4,10
2020/1/25,60,35,33,25,7,14
2020/1/26,54,35,25,27,9,12
2020/1/27,52,33,42,31,3,12
2020/1/28,46,41,39,28,14,
2020/1/29,48,33,24,24,3,
2020/1/30,42,27,35,25,2,
2020/1/31,35,46,34,30,24,
2019/10/1,42,23,38,25,2,8
2019/10/2,48,28,37,25,2,8
2019/10/3,53,26,56,25,1,8
2019/10/4,48,30,46,21,6,7
2019/10/5,54,26,53,17,2,6
2019/10/6,52,22,26,19,2,6
2019/10/7,45,15,19,19,1,6
2019/10/8,27,17,38,22,2,7
2019/10/9,33,27,23,25,7,10
2019/10/10,54,33,33,28,4,9
2019/10/11,66,22,38,18,1,7
2019/10/12,47,33,54,21,7,8
2019/10/13,70,35,32,24,10,9
2019/10/14,58,43,52,32,12,10
2019/10/15,70,29,11,22,16,10
2019/10/16,53,17,3,24,2,13
2019/10/17,46,20,26,24,2,11
2019/10/18,38,20,29,21,2,11
2019/10/19,41,17,19,12,2,8
2019/10/20,36,21,31,25,2,10
2019/10/21,37,31,23,22,5,8
2019/10/22,54,33,32,24,7,8
2019/10/23,59,36,30,33,3,11
2019/10/24,68,32,13,34,6,13
2019/10/25,71,26,31,30,3,11
2019/10/26,64,39,61,31,6,12
2019/10/27,91,49,51,44,3,16
2019/10/28,109,44,41,33,3,12
2019/10/29,81,39,46,35,3,12
2019/10/30,81,27,17,26,3,10
2019/10/31,51,38,39,26,5,10
2019/11/1,70,37,10,26,18,10
2019/11/2,76,20,37,21,6,8
2019/11/3,46,39,40,32,5,12
2019/11/4,87,41,33,34,6,12
2019/11/5,75,33,32,26,6,9
2019/11/6,58,41,29,28,13,9
2019/11/7,69,31,26,20,8,8
