date,pm25,pm10,o3,no2,so2,co
2020/3/1,93,,27,28,3,14
2020/3/2,96,,34,13,1,9
2020/3/3,57,,49,9,1,6
2020/3/4,51,,59,25,5,9
2020/3/5,85,,52,18,3,7
2020/3/6,91,,67,21,5,8
2020/3/7,107,,87,22,14,10
2020/3/8,95,,69,25,18,9
2020/3/9,85,,78,19,8,6
2020/3/10,77,,48,24,10,9
2020/3/11,76,,77,29,2,11
2020/3/12,86,,65,24,1,10
2020/3/13,76,,74,23,5,10
2020/3/14,81,,61,20,5,9
2020/3/15,79,,48,16,8,7
2020/3/16,66,,46,24,1,12
2020/3/17,75,,,,,
2020/3/19,68,,55,17,6,9
2020/3/20,83,,68,20,1,8
2020/3/21,89,,66,20,6,8
2020/3/22,75,,74,20,2,8
2020/3/23,82,,73,28,3,10
2020/3/24,93,,83,27,2,9
2020/3/25,88,,65,21,5,9
2020/3/26,96,,41,15,2,8
2020/3/27,91,,59,16,1,9
2020/3/28,118,,28,15,,7
2020/3/29,80,,,,,
2020/2/1,58,,,,,
2020/2/2,85,,,,,
2020/2/3,49,,,,,
2020/2/4,31,,17,5,1,5
2020/2/5,30,,39,7,,5
2020/2/6,35,,41,19,2,11
2020/2/7,69,,43,19,2,9
2020/2/8,72,,44,21,2,11
2020/2/9,65,,49,26,4,14
2020/2/10,78,,57,27,4,13
2020/2/11,87,,40,12,1,7
2020/2/12,61,,33,29,3,13
2020/2/13,83,,82,12,5,6
2020/2/14,132,,,,,
2020/2/17,72,,76,35,9,15
2020/2/18,94,,74,29,10,13
2020/2/19,93,,41,20,4,7
2020/2/20,79,,53,21,2,8
2020/2/21,65,,76,22,4,8
2020/2/22,74,,84,25,2,11
2020/2/23,88,,49,21,2,10
2020/2/24,75,,36,12,1,7
2020/2/25,50,,45,18,5,7
2020/2/26,66,,42,18,6,8
2020/2/27,74,,84,24,13,8
2020/2/28,80,,63,24,10,8
2020/2/29,82,,67,23,2,10
2020/1/1,54,,18,4,,4
2020/1/2,32,,35,11,1,5
2020/1/3,34,,44,28,9,9
2020/1/4,105,,49,33,11,11
2020/1/5,81,,71,43,21,15
2020/1/6,111,,35,37,5,13
2020/1/7,91,,49,30,7,10
2020/1/8,89,,54,41,6,18
2020/1/9,115,,31,24,3,14
2020/1/10,83,,57,31,3,13
2020/1/11,104,,46,27,12,10
2020/1/12,95,,33,30,9,15
2020/1/13,89,,36,20,4,11
2020/1/14,73,,36,22,10,11
2020/1/15,72,,38,19,6,8
2020/1/16,76,,10,24,6,10
2020/1/17,70,,,,,
2020/1/20,54,,,,,
2020/1/21,86,,,,,
2020/1/22,120,,,,,
2020/1/23,77,,,,,
2020/1/24,62,,,,,
2020/1/25,59,,,,,
2020/1/26,51,,,,,
2020/1/27,58,,,,,
2020/1/28,53,,,,,
2020/1/29,62,,,,,
2020/1/30,29,,,,,
2020/1/31,37,,,,,
2019/10/1,53,,39,17,1,4
2019/10/2,57,,41,16,1,4
2019/10/3,58,,44,16,1,3
2019/10/4,62,,41,12,1,2
2019/10/5,65,,35,11,1,2
2019/10/6,66,,30,11,1,2
2019/10/7,42,,17,17,,4
2019/10/8,30,,39,16,1,5
2019/10/9,42,,32,13,2,5
2019/10/10,65,,38,20,3,6
2019/10/11,82,,36,14,1,4
2019/10/12,61,,54,14,5,5
2019/10/13,83,,45,16,9,6
2019/10/14,83,,56,18,11,6
2019/10/15,84,,14,17,9,6
2019/10/16,57,,8,15,1,7
2019/10/17,49,,22,10,2,6
2019/10/18,37,,22,9,1,5
2019/10/19,33,,16,4,,3
2019/10/20,22,,23,9,1,4
2019/10/21,24,,25,17,6,5
2019/10/22,70,,39,17,4,4
2019/10/23,65,,41,20,2,6
2019/10/24,67,,32,28,3,8
2019/10/25,100,,29,18,1,6
2019/10/26,72,,52,20,3,8
2019/10/27,111,,48,28,2,11
2019/10/28,130,,31,12,2,5
2019/10/29,74,,43,23,2,9
2019/10/30,105,,23,21,1,8
2019/10/31,63,,42,18,2,6
2019/11/1,92,,15,21,10,7
2019/11/2,85,,35,16,2,5
2019/11/3,61,,37,23,2,9
2019/11/4,79,,38,29,3,10
2019/11/5,83,,43,23,4,8
2019/11/6,77,,38,20,15,6
2019/11/7,68,,34,16,7,6
2019/11/8,58,,27,13,1,4
2019/11/9,25,,40,16,11,7
2019/11/10,72,,42,20,3,8
2019/11/11,68,,47,18,3,5
2019/11/12,59,,27,12,3,5
2019/11/13,36,,23,7,,4
2019/11/14,22,,,,,
2019/11/20,86,,43,29,4,12
2019/11/21,105,,41,26,3,12
2019/11/22,102,,61,26,6,9
2019/11/23,115,,46,17,14,8
2019/11/24,121,,49,18,3,9
2019/11/25,97,,32,9,1,6
2019/11/26,79,,64,31,3,14
2019/11/27,111,,35,24,9,9
2019/11/28,82,,36,25,15,12
2019/11/29,97,,52,30,6,12
2019/11/30,99,,35,27,2,12
2019/12/1,86,,41,21,5,8
2019/12/2,94,,43,27,8,11
2019/12/3,83,,41,31,3,16
2019/12/4,95,,65,32,3,14
2019/12/5,98,,17,46,3,12
2019/12/6,102,,47,79,6,9
2019/7/1,49,,35,17,1,7
2019/7/2,43,,52,17,1,8
2019/7/3,45,,53,22,4,11
2019/7/4,74,,61,21,5,8
2019/7/5,72,,42,19,4,7
2019/7/6,66,,63,15,2,6
2019/7/7,59,,49,22,2,9
2019/7/8,64,,61,27,2,11
2019/7/9,90,,15,22,2,8
2019/7/10,66,,32,28,2,9
2019/7/11,71,,45,25,2,8
2019/7/12,77,,46,22,1,8
2019/7/13,64,,47,26,2,11
2019/7/14,90,,50,25,1,10
2019/7/15,78,,48,21,4,7
2019/7/16,66,,30,21,2,8
2019/7/17,58,,47,21,7,8
2019/7/18,76,,39,24,1,8
2019/7/19,68,,56,24,1,8
2019/7/20,73,,34,14,2,5
2019/7/21,49,,45,18,2,8
2019/7/22,45,,42,19,1,6
2019/7/23,61,,34,22,1,7
2019/7/24,60,,23,32,1,10
2019/7/25,77,,28,30,1,9
2019/7/26,69,,48,20,1,7
2019/7/27,53,,48,19,1,7
2019/7/28,59,,38,22,2,8
2019/7/29,59,,40,26,2,10
2019/7/30,72,,45,21,3,8
2019/7/31,74,,52,19,2,6
2019/8/1,61,,53,20,3,6
2019/8/2,62,,56,18,1,6
2019/8/3,58,,57,13,1,6
2019/8/4,62,,39,18,1,6
2019/8/5,47,,38,22,1,8
2019/8/6,44,,33,18,1,7
2019/8/7,39,,57,18,2,8
2019/8/8,43,,50,22,3,8
2019/8/9,80,,22,15,2,6
2019/8/10,47,,41,16,1,8
2019/8/11,46,,36,13,1,6
2019/8/12,32,,39,16,1,7
2019/8/13,48,,50,17,2,6
2019/8/14,51,,60,16,2,6
2019/8/15,57,,59,19,2,7
2019/8/16,70,,44,19,1,8
2019/8/17,61,,57,23,5,9
2019/8/18,83,,23,15,1,6
2019/8/19,46,,50,18,2,6
2019/8/20,45,,41,18,1,6
2019/8/21,52,,28,10,3,5
2019/8/22,39,,51,22,2,8
2019/8/23,81,,59,18,2,8
2019/8/24,68,,58,20,1,10
2019/8/25,76,,57,23,2,8
2019/8/26,69,,44,17,2,7
2019/8/27,63,,41,19,1,7
2019/8/28,71,,55,13,2,6
2019/8/29,69,,52,22,2,9
2019/8/30,70,,46,22,2,8
2019/8/31,59,,52,14,3,6
2019/9/1,54,,38,14,1,6
2019/9/2,49,,39,16,1,6
2019/9/3,56,,37,14,1,7
2019/9/4,72,,47,19,1,8
2019/9/5,80,,38,18,2,6
2019/9/7,78,,53,17,2,5
2019/9/8,65,,36,22,5,6
2019/9/9,60,,49,24,3,7
2019/9/10,60,,34,19,1,5
2019/9/11,68,,30,17,2,4
2019/9/12,49,,22,20,1,4
2019/9/13,38,,25,14,,3
2019/9/14,28,,48,12,2,3
2019/9/15,40,,44,13,6,3
2019/9/16,96,,58,16,1,4
2019/9/17,65,,28,6,,2
2019/9/18,25,,29,18,1,5
2019/9/19,58,,54,26,2,7
2019/9/20,115,,43,18,1,4
2019/9/21,65,,51,15,2,4
2019/9/22,72,,55,15,3,3
2019/9/23,67,,57,21,9,5
2019/9/24,98,,42,18,2,5
2019/9/25,87,,50,23,1,7
2019/9/26,117,,51,16,1,4
2019/9/27,68,,46,15,2,4
2019/9/28,71,,13,10,,3
2019/9/29,35,,19,6,,2
2019/9/30,23,,29,15,1,6
2019/5/23,101,,67,16,3,7
2019/5/24,93,,69,14,5,6
2019/5/25,79,,65,13,4,5
2019/5/28,85,,78,9,1,6
2019/5/29,82,52,73,10,1,6
2019/5/30,77,40,55,13,1,6
2019/5/31,66,25,31,12,1,5
2019/6/1,30,9,23,8,1,4
2019/6/2,21,25,23,13,1,5
2019/6/3,32,19,29,15,1,7
2019/6/4,33,23,28,9,1,5
2019/6/5,22,21,52,26,1,10
