"Parámetro","Fecha","Hora","Valor","Unidad"
"O3","2019-01-01","3:00 - 4:00","0.008","ppm"
"O3","2019-01-01","4:00 - 5:00","0.007","ppm"
"O3","2019-01-01","5:00 - 6:00","0.007","ppm"
"O3","2019-01-01","6:00 - 7:00","0.007","ppm"
"O3","2019-01-01","7:00 - 8:00","0.006","ppm"
"O3","2019-01-01","8:00 - 9:00","0.008","ppm"
"O3","2019-01-01","9:00 - 10:00","0.028","ppm"
"O3","2019-01-01","10:00 - 11:00","0.052","ppm"
"O3","2019-01-01","11:00 - 12:00","0.069","ppm"
"O3","2019-01-01","12:00 - 13:00","0.085","ppm"
"O3","2019-01-01","13:00 - 14:00","0.084","ppm"
"O3","2019-01-01","14:00 - 15:00","0.085","ppm"
"O3","2019-01-01","15:00 - 16:00","0.085","ppm"
"O3","2019-01-01","16:00 - 17:00","0.068","ppm"
"O3","2019-01-01","17:00 - 18:00","0.048","ppm"
"O3","2019-01-01","18:00 - 19:00","0.037","ppm"
"O3","2019-01-01","19:00 - 20:00","0.015","ppm"
"O3","2019-01-01","20:00 - 21:00","0.008","ppm"
"O3","2019-01-01","21:00 - 22:00","0.006","ppm"
"O3","2019-01-01","22:00 - 23:00","0.005","ppm"
"O3","2019-01-02","23:00 - 0:00","0.005","ppm"
"O3","2019-01-02","0:00 - 1:00","0.005","ppm"
"O3","2019-01-02","1:00 - 2:00","0.005","ppm"
"O3","2019-01-02","2:00 - 3:00","0.005","ppm"
"O3","2019-01-02","3:00 - 4:00","0.005","ppm"
"O3","2019-01-02","4:00 - 5:00","0.005","ppm"
"O3","2019-01-02","5:00 - 6:00","0.005","ppm"
"O3","2019-01-02","6:00 - 7:00","0.005","ppm"
"O3","2019-01-02","7:00 - 8:00","0.005","ppm"
"O3","2019-01-02","8:00 - 9:00","0.006","ppm"
"O3","2019-01-02","9:00 - 10:00","0.011","ppm"
"O3","2019-01-02","10:00 - 11:00","0.019","ppm"
"O3","2019-01-02","11:00 - 12:00","0.038","ppm"
"O3","2019-01-02","12:00 - 13:00","0.047","ppm"
"O3","2019-01-02","14:00 - 15:00","0.064","ppm"
"O3","2019-01-02","15:00 - 16:00","0.057","ppm"
"O3","2019-01-02","16:00 - 17:00","0.040","ppm"
"O3","2019-01-02","17:00 - 18:00","0.034","ppm"
"O3","2019-01-02","18:00 - 19:00","0.026","ppm"
"O3","2019-01-02","19:00 - 20:00","0.020","ppm"
"O3","2019-01-02","20:00 - 21:00","0.011","ppm"
"O3","2019-01-02","21:00 - 22:00","0.009","ppm"
"O3","2019-01-02","22:00 - 23:00","0.007","ppm"
"O3","2019-01-03","23:00 - 0:00","0.006","ppm"
"O3","2019-01-03","0:00 - 1:00","0.006","ppm"
"O3","2019-01-03","1:00 - 2:00","0.005","ppm"
"O3","2019-01-03","2:00 - 3:00","0.006","ppm"
"O3","2019-01-03","3:00 - 4:00","0.005","ppm"
"O3","2019-01-03","4:00 - 5:00","0.006","ppm"
"O3","2019-01-03","5:00 - 6:00","0.005","ppm"
"O3","2019-01-03","6:00 - 7:00","0.005","ppm"
"O3","2019-01-03","7:00 - 8:00","0.005","ppm"
"O3","2019-01-03","8:00 - 9:00","0.006","ppm"
"O3","2019-01-03","9:00 - 10:00","0.008","ppm"
"O3","2019-01-03","10:00 - 11:00","0.015","ppm"
"O3","2019-01-03","11:00 - 12:00","0.034","ppm"
"O3","2019-01-03","12:00 - 13:00","0.051","ppm"
"O3","2019-01-03","13:00 - 14:00","0.062","ppm"
"O3","2019-01-03","14:00 - 15:00","0.071","ppm"
"O3","2019-01-03","15:00 - 16:00","0.080","ppm"
"O3","2019-01-03","16:00 - 17:00","0.085","ppm"
"O3","2019-01-03","17:00 - 18:00","0.050","ppm"
"O3","2019-01-03","18:00 - 19:00","0.024","ppm"
"O3","2019-01-03","19:00 - 20:00","0.023","ppm"
"O3","2019-01-03","20:00 - 21:00","0.011","ppm"
"O3","2019-01-03","21:00 - 22:00","0.006","ppm"
"O3","2019-01-03","22:00 - 23:00","0.005","ppm"
"O3","2019-01-04","23:00 - 0:00","0.005","ppm"
"O3","2019-01-04","0:00 - 1:00","0.005","ppm"
"O3","2019-01-04","1:00 - 2:00","0.005","ppm"
"O3","2019-01-04","2:00 - 3:00","0.005","ppm"
"O3","2019-01-04","3:00 - 4:00","0.005","ppm"
"O3","2019-01-04","4:00 - 5:00","0.005","ppm"
"O3","2019-01-04","5:00 - 6:00","0.006","ppm"
"O3","2019-01-04","6:00 - 7:00","0.006","ppm"
"O3","2019-01-04","7:00 - 8:00","0.005","ppm"
"O3","2019-01-04","8:00 - 9:00","0.006","ppm"
"O3","2019-01-04","9:00 - 10:00","0.011","ppm"
"O3","2019-01-04","10:00 - 11:00","0.029","ppm"
"O3","2019-01-04","11:00 - 12:00","0.044","ppm"
"O3","2019-01-04","12:00 - 13:00","0.056","ppm"
"O3","2019-01-04","13:00 - 14:00","0.068","ppm"
"O3","2019-01-04","14:00 - 15:00","0.078","ppm"
"O3","2019-01-04","15:00 - 16:00","0.087","ppm"
"O3","2019-01-04","16:00 - 17:00","0.085","ppm"
"O3","2019-01-04","17:00 - 18:00","0.078","ppm"
"O3","2019-01-04","18:00 - 19:00","0.030","ppm"
