"Parámetro","Fecha","Hora","Valor","Unidad"
"DV","2019-01-01","23:00 - 0:00","217","°A"
"DV","2019-01-01","0:00 - 1:00","167","°A"
"DV","2019-01-01","1:00 - 2:00","89","°A"
"DV","2019-01-01","2:00 - 3:00","240","°A"
"DV","2019-01-01","3:00 - 4:00","204","°A"
"DV","2019-01-01","4:00 - 5:00","196","°A"
"DV","2019-01-01","5:00 - 6:00","231","°A"
"DV","2019-01-01","6:00 - 7:00","211","°A"
"DV","2019-01-01","7:00 - 8:00","221","°A"
"DV","2019-01-01","8:00 - 9:00","236","°A"
"DV","2019-01-01","9:00 - 10:00","34","°A"
"DV","2019-01-01","10:00 - 11:00","36","°A"
"DV","2019-01-01","11:00 - 12:00","54","°A"
"DV","2019-01-01","12:00 - 13:00","66","°A"
"DV","2019-01-01","13:00 - 14:00","359","°A"
"DV","2019-01-01","14:00 - 15:00","22","°A"
"DV","2019-01-01","15:00 - 16:00","50","°A"
"DV","2019-01-01","16:00 - 17:00","44","°A"
"DV","2019-01-01","17:00 - 18:00","133","°A"
"DV","2019-01-01","18:00 - 19:00","208","°A"
"DV","2019-01-01","19:00 - 20:00","221","°A"
"DV","2019-01-01","20:00 - 21:00","227","°A"
"DV","2019-01-01","21:00 - 22:00","211","°A"
"DV","2019-01-01","22:00 - 23:00","217","°A"
"DV","2019-01-02","23:00 - 0:00","167","°A"
"DV","2019-01-02","0:00 - 1:00","228","°A"
"DV","2019-01-02","1:00 - 2:00","218","°A"
"DV","2019-01-02","2:00 - 3:00","215","°A"
"DV","2019-01-02","3:00 - 4:00","211","°A"
"DV","2019-01-02","4:00 - 5:00","223","°A"
"DV","2019-01-02","5:00 - 6:00","189","°A"
"DV","2019-01-02","6:00 - 7:00","217","°A"
"DV","2019-01-02","7:00 - 8:00","222","°A"
"DV","2019-01-02","8:00 - 9:00","57","°A"
"DV","2019-01-02","9:00 - 10:00","55","°A"
"DV","2019-01-02","10:00 - 11:00","39","°A"
"DV","2019-01-02","11:00 - 12:00","60","°A"
"DV","2019-01-02","12:00 - 13:00","38","°A"
"DV","2019-01-02","13:00 - 14:00","295","°A"
"DV","2019-01-02","14:00 - 15:00","42","°A"
"DV","2019-01-02","15:00 - 16:00","69","°A"
"DV","2019-01-02","16:00 - 17:00","14","°A"
"DV","2019-01-02","17:00 - 18:00","327","°A"
"DV","2019-01-02","18:00 - 19:00","308","°A"
"DV","2019-01-02","19:00 - 20:00","245","°A"
"DV","2019-01-02","20:00 - 21:00","210","°A"
"DV","2019-01-02","21:00 - 22:00","262","°A"
"DV","2019-01-02","22:00 - 23:00","239","°A"
"DV","2019-01-03","23:00 - 0:00","228","°A"
"DV","2019-01-03","0:00 - 1:00","217","°A"
"DV","2019-01-03","1:00 - 2:00","205","°A"
"DV","2019-01-03","2:00 - 3:00","165","°A"
"DV","2019-01-03","3:00 - 4:00","170","°A"
"DV","2019-01-03","4:00 - 5:00","247","°A"
"DV","2019-01-03","5:00 - 6:00","214","°A"
"DV","2019-01-03","6:00 - 7:00","68","°A"
"DV","2019-01-03","7:00 - 8:00","208","°A"
"DV","2019-01-03","8:00 - 9:00","320","°A"
"DV","2019-01-03","9:00 - 10:00","59","°A"
"DV","2019-01-03","10:00 - 11:00","87","°A"
"DV","2019-01-03","11:00 - 12:00","58","°A"
"DV","2019-01-03","12:00 - 13:00","43","°A"
"DV","2019-01-03","13:00 - 14:00","65","°A"
"DV","2019-01-03","14:00 - 15:00","64","°A"
"DV","2019-01-03","15:00 - 16:00","131","°A"
"DV","2019-01-03","16:00 - 17:00","167","°A"
"DV","2019-01-03","17:00 - 18:00","150","°A"
"DV","2019-01-03","18:00 - 19:00","123","°A"
"DV","2019-01-03","19:00 - 20:00","212","°A"
"DV","2019-01-03","20:00 - 21:00","234","°A"
"DV","2019-01-03","21:00 - 22:00","225","°A"
"DV","2019-01-03","22:00 - 23:00","174","°A"
"DV","2019-01-04","23:00 - 0:00","217","°A"
