"Parámetro","Fecha","Hora","Valor","Unidad"
"TMP","2019-01-01","23:00 - 0:00","13.700","°C"
"TMP","2019-01-01","0:00 - 1:00","11.800","°C"
"TMP","2019-01-01","1:00 - 2:00","11.000","°C"
"TMP","2019-01-01","2:00 - 3:00","10.300","°C"
"TMP","2019-01-01","3:00 - 4:00","9.800","°C"
"TMP","2019-01-01","4:00 - 5:00","9.100","°C"
"TMP","2019-01-01","5:00 - 6:00","8.400","°C"
"TMP","2019-01-01","6:00 - 7:00","7.800","°C"
"TMP","2019-01-01","7:00 - 8:00","7.200","°C"
"TMP","2019-01-01","8:00 - 9:00","9.100","°C"
"TMP","2019-01-01","9:00 - 10:00","12.400","°C"
"TMP","2019-01-01","10:00 - 11:00","15.000","°C"
"TMP","2019-01-01","11:00 - 12:00","17.600","°C"
"TMP","2019-01-01","12:00 - 13:00","19.500","°C"
"TMP","2019-01-01","13:00 - 14:00","21.400","°C"
"TMP","2019-01-01","14:00 - 15:00","22.000","°C"
"TMP","2019-01-01","15:00 - 16:00","22.400","°C"
"TMP","2019-01-01","16:00 - 17:00","22.800","°C"
"TMP","2019-01-01","17:00 - 18:00","21.500","°C"
"TMP","2019-01-01","18:00 - 19:00","19.200","°C"
"TMP","2019-01-01","19:00 - 20:00","18.000","°C"
"TMP","2019-01-01","20:00 - 21:00","16.200","°C"
"TMP","2019-01-01","21:00 - 22:00","14.700","°C"
"TMP","2019-01-01","22:00 - 23:00","13.700","°C"
"TMP","2019-01-02","23:00 - 0:00","11.800","°C"
"TMP","2019-01-02","0:00 - 1:00","12.000","°C"
"TMP","2019-01-02","1:00 - 2:00","11.400","°C"
"TMP","2019-01-02","2:00 - 3:00","10.700","°C"
"TMP","2019-01-02","3:00 - 4:00","10.000","°C"
"TMP","2019-01-02","4:00 - 5:00","9.200","°C"
"TMP","2019-01-02","5:00 - 6:00","8.600","°C"
"TMP","2019-01-02","6:00 - 7:00","8.000","°C"
"TMP","2019-01-02","7:00 - 8:00","7.700","°C"
"TMP","2019-01-02","8:00 - 9:00","8.800","°C"
"TMP","2019-01-02","9:00 - 10:00","11.000","°C"
"TMP","2019-01-02","10:00 - 11:00","14.200","°C"
"TMP","2019-01-02","11:00 - 12:00","16.000","°C"
"TMP","2019-01-02","12:00 - 13:00","16.900","°C"
"TMP","2019-01-02","13:00 - 14:00","18.600","°C"
"TMP","2019-01-02","14:00 - 15:00","20.000","°C"
"TMP","2019-01-02","15:00 - 16:00","20.300","°C"
"TMP","2019-01-02","16:00 - 17:00","20.300","°C"
"TMP","2019-01-02","17:00 - 18:00","19.800","°C"
"TMP","2019-01-02","18:00 - 19:00","18.300","°C"
"TMP","2019-01-02","19:00 - 20:00","16.800","°C"
"TMP","2019-01-02","20:00 - 21:00","15.400","°C"
"TMP","2019-01-02","21:00 - 22:00","13.100","°C"
"TMP","2019-01-02","22:00 - 23:00","11.600","°C"
"TMP","2019-01-03","23:00 - 0:00","12.000","°C"
"TMP","2019-01-03","0:00 - 1:00","10.300","°C"
"TMP","2019-01-03","1:00 - 2:00","9.600","°C"
"TMP","2019-01-03","2:00 - 3:00","9.200","°C"
"TMP","2019-01-03","3:00 - 4:00","8.900","°C"
"TMP","2019-01-03","4:00 - 5:00","8.400","°C"
"TMP","2019-01-03","5:00 - 6:00","8.100","°C"
"TMP","2019-01-03","6:00 - 7:00","8.100","°C"
"TMP","2019-01-03","7:00 - 8:00","8.100","°C"
"TMP","2019-01-03","8:00 - 9:00","9.300","°C"
"TMP","2019-01-03","9:00 - 10:00","11.200","°C"
"TMP","2019-01-03","10:00 - 11:00","13.400","°C"
"TMP","2019-01-03","11:00 - 12:00","16.000","°C"
"TMP","2019-01-03","12:00 - 13:00","17.900","°C"
"TMP","2019-01-03","13:00 - 14:00","19.400","°C"
"TMP","2019-01-03","14:00 - 15:00","21.000","°C"
"TMP","2019-01-03","15:00 - 16:00","21.900","°C"
"TMP","2019-01-03","17:00 - 18:00","21.100","°C"
"TMP","2019-01-03","18:00 - 19:00","19.300","°C"
"TMP","2019-01-03","19:00 - 20:00","17.200","°C"
"TMP","2019-01-03","20:00 - 21:00","16.100","°C"
"TMP","2019-01-03","21:00 - 22:00","14.800","°C"
"TMP","2019-01-03","22:00 - 23:00","13.500","°C"
"TMP","2019-01-04","23:00 - 0:00","10.300","°C"
"TMP","2019-01-04","0:00 - 1:00","12.200","°C"
"TMP","2019-01-04","1:00 - 2:00","11.400","°C"
"TMP","2019-01-04","2:00 - 3:00","10.800","°C"
"TMP","2019-01-04","3:00 - 4:00","10.200","°C"
"TMP","2019-01-04","4:00 - 5:00","9.700","°C"
"TMP","2019-01-04","5:00 - 6:00","9.000","°C"
"TMP","2019-01-04","6:00 - 7:00","8.600","°C"
"TMP","2019-01-04","7:00 - 8:00","8.700","°C"
"TMP","2019-01-04","8:00 - 9:00","11.100","°C"
"TMP","2019-01-04","9:00 - 10:00","13.500","°C"
"TMP","2019-01-04","10:00 - 11:00","15.800","°C"
"TMP","2019-01-04","11:00 - 12:00","17.800","°C"
