"Parámetro","Fecha","Hora","Valor","Unidad"
"DV","2019-12-01","23:00 - 0:00","124","°A"
"DV","2019-12-01","0:00 - 1:00","303","°A"
"DV","2019-12-01","1:00 - 2:00","312","°A"
"DV","2019-12-01","2:00 - 3:00","310","°A"
"DV","2019-12-01","3:00 - 4:00","306","°A"
"DV","2019-12-01","4:00 - 5:00","305","°A"
"DV","2019-12-01","5:00 - 6:00","104","°A"
"DV","2019-12-01","6:00 - 7:00","110","°A"
"DV","2019-12-01","7:00 - 8:00","57","°A"
"DV","2019-12-01","8:00 - 9:00","57","°A"
"DV","2019-12-01","9:00 - 10:00","321","°A"
"DV","2019-12-01","10:00 - 11:00","320","°A"
"DV","2019-12-03","14:00 - 15:00","345","°A"
"DV","2019-12-03","15:00 - 16:00","335","°A"
"DV","2019-12-03","16:00 - 17:00","3","°A"
"DV","2019-12-03","17:00 - 18:00","348","°A"
"DV","2019-12-03","18:00 - 19:00","358","°A"
"DV","2019-12-03","19:00 - 20:00","347","°A"
"DV","2019-12-03","20:00 - 21:00","306","°A"
"DV","2019-12-03","21:00 - 22:00","19","°A"
"DV","2019-12-03","22:00 - 23:00","339","°A"
"DV","2019-12-04","23:00 - 0:00","306","°A"
"DV","2019-12-04","0:00 - 1:00","296","°A"
"DV","2019-12-04","1:00 - 2:00","333","°A"
"DV","2019-12-04","2:00 - 3:00","33","°A"
"DV","2019-12-04","3:00 - 4:00","117","°A"
"DV","2019-12-04","4:00 - 5:00","169","°A"
"DV","2019-12-04","5:00 - 6:00","140","°A"
"DV","2019-12-04","6:00 - 7:00","114","°A"
"DV","2019-12-04","7:00 - 8:00","29","°A"
"DV","2019-12-04","8:00 - 9:00","65","°A"
"DV","2019-12-04","9:00 - 10:00","151","°A"
"DV","2019-12-04","10:00 - 11:00","148","°A"
"DV","2019-12-04","11:00 - 12:00","50","°A"
"DV","2019-12-04","12:00 - 13:00","358","°A"
"DV","2019-12-04","13:00 - 14:00","7","°A"
"DV","2019-12-04","14:00 - 15:00","43","°A"
"DV","2019-12-04","15:00 - 16:00","343","°A"
"DV","2019-12-04","16:00 - 17:00","264","°A"
"DV","2019-12-04","17:00 - 18:00","305","°A"
"DV","2019-12-04","18:00 - 19:00","332","°A"
"DV","2019-12-04","19:00 - 20:00","3","°A"
"DV","2019-12-04","20:00 - 21:00","6","°A"
"DV","2019-12-04","21:00 - 22:00","313","°A"
"DV","2019-12-04","22:00 - 23:00","311","°A"
"DV","2019-12-05","23:00 - 0:00","296","°A"
"DV","2019-12-05","0:00 - 1:00","303","°A"
"DV","2019-12-05","1:00 - 2:00","300","°A"
"DV","2019-12-05","2:00 - 3:00","360","°A"
"DV","2019-12-05","3:00 - 4:00","115","°A"
"DV","2019-12-05","4:00 - 5:00","98","°A"
"DV","2019-12-05","5:00 - 6:00","124","°A"
"DV","2019-12-05","6:00 - 7:00","32","°A"
"DV","2019-12-05","7:00 - 8:00","28","°A"
"DV","2019-12-05","8:00 - 9:00","88","°A"
"DV","2019-12-05","9:00 - 10:00","127","°A"
"DV","2019-12-05","10:00 - 11:00","58","°A"
"DV","2019-12-05","11:00 - 12:00","62","°A"
"DV","2019-12-05","12:00 - 13:00","315","°A"
"DV","2019-12-05","13:00 - 14:00","315","°A"
"DV","2019-12-05","14:00 - 15:00","330","°A"
"DV","2019-12-05","15:00 - 16:00","5","°A"
"DV","2019-12-05","16:00 - 17:00","12","°A"
"DV","2019-12-05","17:00 - 18:00","346","°A"
"DV","2019-12-05","18:00 - 19:00","332","°A"
"DV","2019-12-05","19:00 - 20:00","331","°A"
"DV","2019-12-05","20:00 - 21:00","2","°A"
"DV","2019-12-05","21:00 - 22:00","345","°A"
"DV","2019-12-05","22:00 - 23:00","299","°A"
"DV","2019-12-06","23:00 - 0:00","303","°A"
"DV","2019-12-06","0:00 - 1:00","302","°A"
"DV","2019-12-06","1:00 - 2:00","300","°A"
"DV","2019-12-06","2:00 - 3:00","234","°A"
"DV","2019-12-06","3:00 - 4:00","124","°A"
"DV","2019-12-06","4:00 - 5:00","105","°A"
"DV","2019-12-06","5:00 - 6:00","131","°A"
"DV","2019-12-06","6:00 - 7:00","25","°A"
"DV","2019-12-06","7:00 - 8:00","34","°A"
"DV","2019-12-06","8:00 - 9:00","36","°A"
"DV","2019-12-06","9:00 - 10:00","66","°A"
"DV","2019-12-06","10:00 - 11:00","57","°A"
"DV","2019-12-06","11:00 - 12:00","305","°A"
"DV","2019-12-06","12:00 - 13:00","351","°A"
"DV","2019-12-06","13:00 - 14:00","4","°A"
"DV","2019-12-06","14:00 - 15:00","350","°A"
"DV","2019-12-06","15:00 - 16:00","351","°A"
"DV","2019-12-06","16:00 - 17:00","355","°A"
"DV","2019-12-06","17:00 - 18:00","2","°A"
"DV","2019-12-06","18:00 - 19:00","6","°A"
"DV","2019-12-06","19:00 - 20:00","7","°A"
"DV","2019-12-06","20:00 - 21:00","351","°A"
"DV","2019-12-06","21:00 - 22:00","313","°A"
"DV","2019-12-06","22:00 - 23:00","307","°A"
"DV","2019-12-07","23:00 - 0:00","302","°A"
"DV","2019-12-07","0:00 - 1:00","310","°A"
"DV","2019-12-07","1:00 - 2:00","317","°A"
