"Parámetro","Fecha","Hora","Valor","Unidad"
"NO2","2019-12-03","10:00 - 11:00","0.034","ppm"
"NO2","2019-12-03","11:00 - 12:00","0.032","ppm"
"NO2","2019-12-03","12:00 - 13:00","0.026","ppm"
"NO2","2019-12-03","13:00 - 14:00","0.016","ppm"
"NO2","2019-12-03","14:00 - 15:00","0.016","ppm"
"NO2","2019-12-03","15:00 - 16:00","0.013","ppm"
"NO2","2019-12-03","16:00 - 17:00","0.014","ppm"
"NO2","2019-12-03","17:00 - 18:00","0.023","ppm"
"NO2","2019-12-03","18:00 - 19:00","0.043","ppm"
"NO2","2019-12-03","19:00 - 20:00","0.050","ppm"
"NO2","2019-12-03","20:00 - 21:00","0.047","ppm"
"NO2","2019-12-03","21:00 - 22:00","0.037","ppm"
"NO2","2019-12-03","22:00 - 23:00","0.031","ppm"
"NO2","2019-12-04","23:00 - 0:00","0.019","ppm"
"NO2","2019-12-04","0:00 - 1:00","0.012","ppm"
"NO2","2019-12-04","1:00 - 2:00","0.013","ppm"
"NO2","2019-12-04","2:00 - 3:00","0.014","ppm"
"NO2","2019-12-04","3:00 - 4:00","0.014","ppm"
"NO2","2019-12-04","4:00 - 5:00","0.013","ppm"
"NO2","2019-12-04","5:00 - 6:00","0.014","ppm"
"NO2","2019-12-04","6:00 - 7:00","0.029","ppm"
"NO2","2019-12-04","7:00 - 8:00","0.036","ppm"
"NO2","2019-12-04","8:00 - 9:00","0.046","ppm"
"NO2","2019-12-04","9:00 - 10:00","0.045","ppm"
"NO2","2019-12-04","10:00 - 11:00","0.031","ppm"
"NO2","2019-12-04","11:00 - 12:00","0.009","ppm"
"NO2","2019-12-04","12:00 - 13:00","0.017","ppm"
"NO2","2019-12-04","13:00 - 14:00","0.024","ppm"
"NO2","2019-12-04","14:00 - 15:00","0.027","ppm"
"NO2","2019-12-04","15:00 - 16:00","0.036","ppm"
"NO2","2019-12-04","16:00 - 17:00","0.036","ppm"
"NO2","2019-12-04","17:00 - 18:00","0.046","ppm"
"NO2","2019-12-04","18:00 - 19:00","0.057","ppm"
"NO2","2019-12-04","19:00 - 20:00","0.058","ppm"
"NO2","2019-12-04","20:00 - 21:00","0.065","ppm"
"NO2","2019-12-04","21:00 - 22:00","0.050","ppm"
"NO2","2019-12-04","22:00 - 23:00","0.036","ppm"
"NO2","2019-12-05","23:00 - 0:00","0.027","ppm"
"NO2","2019-12-05","0:00 - 1:00","0.016","ppm"
"NO2","2019-12-05","1:00 - 2:00","0.009","ppm"
"NO2","2019-12-05","2:00 - 3:00","0.008","ppm"
"NO2","2019-12-05","3:00 - 4:00","0.009","ppm"
"NO2","2019-12-05","4:00 - 5:00","0.010","ppm"
"NO2","2019-12-05","5:00 - 6:00","0.014","ppm"
"NO2","2019-12-05","6:00 - 7:00","0.028","ppm"
"NO2","2019-12-05","7:00 - 8:00","0.035","ppm"
"NO2","2019-12-05","8:00 - 9:00","0.041","ppm"
"NO2","2019-12-05","9:00 - 10:00","0.048","ppm"
"NO2","2019-12-05","10:00 - 11:00","0.043","ppm"
"NO2","2019-12-05","11:00 - 12:00","0.039","ppm"
"NO2","2019-12-05","12:00 - 13:00","0.048","ppm"
"NO2","2019-12-05","13:00 - 14:00","0.046","ppm"
"NO2","2019-12-05","14:00 - 15:00","0.040","ppm"
"NO2","2019-12-05","15:00 - 16:00","0.033","ppm"
"NO2","2019-12-05","16:00 - 17:00","0.029","ppm"
"NO2","2019-12-05","17:00 - 18:00","0.043","ppm"
"NO2","2019-12-05","18:00 - 19:00","0.070","ppm"
"NO2","2019-12-05","19:00 - 20:00","0.068","ppm"
"NO2","2019-12-05","20:00 - 21:00","0.053","ppm"
"NO2","2019-12-05","21:00 - 22:00","0.056","ppm"
"NO2","2019-12-05","22:00 - 23:00","0.035","ppm"
"NO2","2019-12-06","23:00 - 0:00","0.024","ppm"
"NO2","2019-12-06","0:00 - 1:00","0.020","ppm"
"NO2","2019-12-06","1:00 - 2:00","0.015","ppm"
"NO2","2019-12-06","2:00 - 3:00","0.011","ppm"
"NO2","2019-12-06","3:00 - 4:00","0.007","ppm"
"NO2","2019-12-06","4:00 - 5:00","0.007","ppm"
"NO2","2019-12-06","5:00 - 6:00","0.013","ppm"
"NO2","2019-12-06","6:00 - 7:00","0.034","ppm"
"NO2","2019-12-06","7:00 - 8:00","0.040","ppm"
"NO2","2019-12-06","8:00 - 9:00","0.049","ppm"
"NO2","2019-12-06","9:00 - 10:00","0.065","ppm"
"NO2","2019-12-06","10:00 - 11:00","0.066","ppm"
"NO2","2019-12-06","11:00 - 12:00","0.049","ppm"
"NO2","2019-12-06","12:00 - 13:00","0.028","ppm"
"NO2","2019-12-06","13:00 - 14:00","0.025","ppm"
"NO2","2019-12-06","14:00 - 15:00","0.013","ppm"
"NO2","2019-12-06","15:00 - 16:00","0.014","ppm"
"NO2","2019-12-06","16:00 - 17:00","0.015","ppm"
"NO2","2019-12-06","17:00 - 18:00","0.020","ppm"
"NO2","2019-12-06","18:00 - 19:00","0.037","ppm"
"NO2","2019-12-06","19:00 - 20:00","0.040","ppm"
"NO2","2019-12-06","20:00 - 21:00","0.039","ppm"
"NO2","2019-12-06","21:00 - 22:00","0.026","ppm"
"NO2","2019-12-06","22:00 - 23:00","0.014","ppm"
