"Parámetro","Fecha","Hora","Valor","Unidad"
"NOx","2019-12-01","23:00 - 0:00","0.073","ppm"
"NOx","2019-12-01","0:00 - 1:00","0.067","ppm"
"NOx","2019-12-01","1:00 - 2:00","0.060","ppm"
"NOx","2019-12-01","2:00 - 3:00","0.044","ppm"
"NOx","2019-12-01","3:00 - 4:00","0.045","ppm"
"NOx","2019-12-01","4:00 - 5:00","0.036","ppm"
"NOx","2019-12-01","5:00 - 6:00","0.029","ppm"
"NOx","2019-12-01","6:00 - 7:00","0.050","ppm"
"NOx","2019-12-01","7:00 - 8:00","0.076","ppm"
"NOx","2019-12-01","8:00 - 9:00","0.071","ppm"
"NOx","2019-12-01","9:00 - 10:00","0.057","ppm"
"NOx","2019-12-01","10:00 - 11:00","0.028","ppm"
"NOx","2019-12-01","11:00 - 12:00","0.018","ppm"
"NOx","2019-12-01","12:00 - 13:00","0.016","ppm"
"NOx","2019-12-01","13:00 - 14:00","0.012","ppm"
"NOx","2019-12-01","14:00 - 15:00","0.021","ppm"
"NOx","2019-12-01","15:00 - 16:00","0.018","ppm"
"NOx","2019-12-01","16:00 - 17:00","0.021","ppm"
"NOx","2019-12-01","17:00 - 18:00","0.029","ppm"
"NOx","2019-12-01","18:00 - 19:00","0.021","ppm"
"NOx","2019-12-01","19:00 - 20:00","0.021","ppm"
"NOx","2019-12-01","20:00 - 21:00","0.022","ppm"
"NOx","2019-12-01","21:00 - 22:00","0.030","ppm"
"NOx","2019-12-01","22:00 - 23:00","0.025","ppm"
"NOx","2019-12-02","23:00 - 0:00","0.023","ppm"
"NOx","2019-12-02","0:00 - 1:00","0.021","ppm"
"NOx","2019-12-02","1:00 - 2:00","0.016","ppm"
"NOx","2019-12-02","2:00 - 3:00","0.014","ppm"
"NOx","2019-12-02","3:00 - 4:00","0.014","ppm"
"NOx","2019-12-02","4:00 - 5:00","0.012","ppm"
"NOx","2019-12-02","5:00 - 6:00","0.054","ppm"
"NOx","2019-12-02","6:00 - 7:00","0.091","ppm"
"NOx","2019-12-02","7:00 - 8:00","0.119","ppm"
"NOx","2019-12-02","8:00 - 9:00","0.092","ppm"
"NOx","2019-12-02","9:00 - 10:00","0.059","ppm"
"NOx","2019-12-02","10:00 - 11:00","0.052","ppm"
"NOx","2019-12-02","11:00 - 12:00","0.039","ppm"
"NOx","2019-12-02","12:00 - 13:00","0.036","ppm"
"NOx","2019-12-02","13:00 - 14:00","0.038","ppm"
"NOx","2019-12-02","14:00 - 15:00","0.042","ppm"
"NOx","2019-12-02","15:00 - 16:00","0.048","ppm"
"NOx","2019-12-02","16:00 - 17:00","0.043","ppm"
"NOx","2019-12-02","17:00 - 18:00","0.055","ppm"
"NOx","2019-12-02","18:00 - 19:00","0.085","ppm"
"NOx","2019-12-02","19:00 - 20:00","0.082","ppm"
"NOx","2019-12-02","20:00 - 21:00","0.059","ppm"
"NOx","2019-12-02","21:00 - 22:00","0.056","ppm"
"NOx","2019-12-02","22:00 - 23:00","0.041","ppm"
"NOx","2019-12-03","3:00 - 4:00","0.056","ppm"
"NOx","2019-12-03","4:00 - 5:00","0.053","ppm"
"NOx","2019-12-03","5:00 - 6:00","0.127","ppm"
"NOx","2019-12-03","6:00 - 7:00","0.131","ppm"
"NOx","2019-12-03","7:00 - 8:00","0.187","ppm"
"NOx","2019-12-03","8:00 - 9:00","0.146","ppm"
"NOx","2019-12-03","9:00 - 10:00","0.147","ppm"
"NOx","2019-12-03","10:00 - 11:00","0.099","ppm"
"NOx","2019-12-03","11:00 - 12:00","0.042","ppm"
"NOx","2019-12-03","12:00 - 13:00","0.034","ppm"
"NOx","2019-12-03","13:00 - 14:00","0.023","ppm"
"NOx","2019-12-03","14:00 - 15:00","0.025","ppm"
"NOx","2019-12-03","15:00 - 16:00","0.028","ppm"
"NOx","2019-12-03","16:00 - 17:00","0.036","ppm"
"NOx","2019-12-03","17:00 - 18:00","0.037","ppm"
"NOx","2019-12-03","18:00 - 19:00","0.059","ppm"
"NOx","2019-12-03","19:00 - 20:00","0.098","ppm"
"NOx","2019-12-03","20:00 - 21:00","0.064","ppm"
"NOx","2019-12-03","21:00 - 22:00","0.098","ppm"
"NOx","2019-12-03","22:00 - 23:00","0.104","ppm"
"NOx","2019-12-04","23:00 - 0:00","0.074","ppm"
