"Parámetro","Fecha","Hora","Valor","Unidad"
"TMP","2019-12-01","23:00 - 0:00","16.700","°C"
"TMP","2019-12-01","0:00 - 1:00","15.400","°C"
"TMP","2019-12-01","1:00 - 2:00","14.500","°C"
"TMP","2019-12-01","2:00 - 3:00","13.600","°C"
"TMP","2019-12-01","3:00 - 4:00","13.200","°C"
"TMP","2019-12-01","4:00 - 5:00","12.800","°C"
"TMP","2019-12-01","5:00 - 6:00","12.300","°C"
"TMP","2019-12-01","6:00 - 7:00","11.900","°C"
"TMP","2019-12-01","7:00 - 8:00","12.200","°C"
"TMP","2019-12-01","8:00 - 9:00","15.500","°C"
"TMP","2019-12-01","9:00 - 10:00","19.500","°C"
"TMP","2019-12-01","10:00 - 11:00","20.900","°C"
"TMP","2019-12-01","11:00 - 12:00","21.500","°C"
"TMP","2019-12-01","12:00 - 13:00","22.300","°C"
"TMP","2019-12-01","13:00 - 14:00","23.600","°C"
"TMP","2019-12-01","14:00 - 15:00","24.600","°C"
"TMP","2019-12-01","15:00 - 16:00","24.300","°C"
"TMP","2019-12-01","16:00 - 17:00","23.700","°C"
"TMP","2019-12-01","17:00 - 18:00","21.000","°C"
"TMP","2019-12-01","18:00 - 19:00","17.800","°C"
"TMP","2019-12-01","19:00 - 20:00","16.200","°C"
"TMP","2019-12-01","20:00 - 21:00","15.100","°C"
"TMP","2019-12-01","21:00 - 22:00","14.700","°C"
"TMP","2019-12-01","22:00 - 23:00","13.900","°C"
"TMP","2019-12-02","23:00 - 0:00","15.400","°C"
"TMP","2019-12-02","0:00 - 1:00","12.700","°C"
"TMP","2019-12-02","1:00 - 2:00","11.900","°C"
"TMP","2019-12-02","2:00 - 3:00","11.400","°C"
"TMP","2019-12-02","3:00 - 4:00","11.100","°C"
"TMP","2019-12-02","4:00 - 5:00","10.800","°C"
"TMP","2019-12-02","5:00 - 6:00","10.800","°C"
"TMP","2019-12-02","6:00 - 7:00","10.900","°C"
"TMP","2019-12-02","7:00 - 8:00","11.300","°C"
"TMP","2019-12-02","8:00 - 9:00","12.400","°C"
"TMP","2019-12-02","9:00 - 10:00","13.400","°C"
"TMP","2019-12-02","10:00 - 11:00","14.900","°C"
"TMP","2019-12-02","11:00 - 12:00","16.400","°C"
"TMP","2019-12-02","12:00 - 13:00","17.800","°C"
"TMP","2019-12-02","13:00 - 14:00","19.400","°C"
"TMP","2019-12-02","14:00 - 15:00","20.600","°C"
"TMP","2019-12-02","15:00 - 16:00","21.500","°C"
"TMP","2019-12-02","16:00 - 17:00","22.000","°C"
"TMP","2019-12-02","17:00 - 18:00","21.200","°C"
"TMP","2019-12-02","18:00 - 19:00","19.800","°C"
"TMP","2019-12-02","19:00 - 20:00","18.300","°C"
"TMP","2019-12-02","20:00 - 21:00","16.900","°C"
"TMP","2019-12-02","21:00 - 22:00","15.500","°C"
"TMP","2019-12-02","22:00 - 23:00","14.500","°C"
"TMP","2019-12-03","23:00 - 0:00","12.700","°C"
"TMP","2019-12-03","0:00 - 1:00","13.500","°C"
"TMP","2019-12-03","1:00 - 2:00","12.600","°C"
"TMP","2019-12-03","2:00 - 3:00","12.100","°C"
"TMP","2019-12-03","3:00 - 4:00","11.400","°C"
"TMP","2019-12-03","4:00 - 5:00","10.800","°C"
"TMP","2019-12-03","5:00 - 6:00","10.500","°C"
"TMP","2019-12-03","6:00 - 7:00","10.000","°C"
"TMP","2019-12-03","7:00 - 8:00","10.500","°C"
"TMP","2019-12-03","8:00 - 9:00","13.200","°C"
"TMP","2019-12-03","9:00 - 10:00","15.200","°C"
"TMP","2019-12-03","10:00 - 11:00","17.700","°C"
"TMP","2019-12-03","11:00 - 12:00","19.400","°C"
"TMP","2019-12-03","12:00 - 13:00","20.500","°C"
"TMP","2019-12-03","13:00 - 14:00","21.500","°C"
"TMP","2019-12-03","14:00 - 15:00","22.500","°C"
"TMP","2019-12-03","15:00 - 16:00","23.100","°C"
"TMP","2019-12-03","16:00 - 17:00","22.600","°C"
"TMP","2019-12-03","17:00 - 18:00","21.600","°C"
"TMP","2019-12-03","18:00 - 19:00","20.400","°C"
"TMP","2019-12-03","19:00 - 20:00","19.300","°C"
"TMP","2019-12-03","20:00 - 21:00","17.900","°C"
"TMP","2019-12-03","21:00 - 22:00","16.600","°C"
"TMP","2019-12-03","22:00 - 23:00","15.800","°C"
"TMP","2019-12-04","23:00 - 0:00","13.500","°C"
"TMP","2019-12-04","0:00 - 1:00","13.100","°C"
"TMP","2019-12-04","1:00 - 2:00","12.400","°C"
"TMP","2019-12-04","2:00 - 3:00","11.900","°C"
