date,pm25,pm10,o3,no2,so2,co
2020/2/1,84,52,34,24,13,11
2020/2/2,87,49,37,32,7,12
2020/2/3,49,39,17,21,4,10
2020/2/4,49,40,12,19,3,9
2020/2/5,43,30,29,22,2,8
2020/2/6,41,68,35,37,4,14
2020/2/7,95,60,41,36,4,14
2020/2/8,83,55,60,31,5,14
2020/2/9,86,66,65,36,6,15
2020/2/10,90,77,60,42,6,16
2020/2/11,111,64,31,29,3,
2020/2/12,82,,36,32,6,12
2020/1/2,35,41,11,18,2,6
2020/1/3,46,65,29,29,10,7
2020/1/4,105,54,38,34,15,10
2020/1/5,91,78,53,40,28,11
2020/1/6,116,80,37,48,9,15
2020/1/7,99,66,33,37,9,16
2020/1/8,101,81,54,38,7,11
2020/1/9,112,73,52,46,6,14
2020/1/10,98,71,36,42,6,15
2020/1/11,103,59,49,42,12,14
2020/1/12,94,65,56,31,8,10
2020/1/13,90,67,48,34,9,14
2020/1/14,91,69,44,35,12,15
2020/1/15,102,61,50,31,10,12
2020/1/16,93,48,47,26,6,9
2020/1/17,75,,11,25,,11
2020/1/20,39,55,14,24,5,8
2020/1/21,95,77,32,37,8,14
2020/1/22,127,55,65,43,8,18
2020/1/23,86,42,22,40,11,14
2020/1/24,67,58,29,29,5,10
2020/1/25,81,45,31,25,8,11
2020/1/26,65,49,34,22,7,10
2020/1/27,63,61,32,29,5,12
2020/1/28,71,67,37,35,6,15
2020/1/29,81,46,33,32,3,11
2020/1/30,54,40,22,27,3,9
2020/1/31,48,56,27,27,15,9
2019/10/2,46,31,35,20,2,7
2019/10/3,42,28,43,20,2,6
2019/10/4,47,33,42,17,5,5
2019/10/5,53,28,42,16,1,5
2019/10/6,42,28,42,16,1,5
2019/10/7,43,18,30,16,1,4
2019/10/8,30,20,23,13,1,4
2019/10/9,31,46,32,17,1,4
2019/10/10,71,41,47,24,5,9
2019/10/11,60,19,33,23,3,7
2019/10/12,28,36,31,15,1,5
2019/10/13,63,41,50,20,4,7
2019/10/14,55,53,30,21,5,9
2019/10/15,75,29,42,24,9,9
2019/10/16,48,19,15,17,4,6
2019/10/17,41,41,5,21,1,11
2019/10/18,55,32,24,26,2,11
2019/10/19,50,23,32,19,2,9
2019/10/20,29,33,20,13,1,6
2019/10/21,39,32,34,18,2,8
2019/10/22,45,33,24,19,3,6
2019/10/23,53,45,35,18,4,6
2019/10/24,73,41,34,31,2,11
2019/10/25,77,34,25,29,5,11
2019/10/26,72,47,31,32,2,11
2019/10/27,99,56,51,30,3,12
2019/10/28,108,3,53,36,4,15
2019/10/29,19,51,39,28,2,11
2019/10/30,100,28,45,34,3,12
2019/10/31,50,46,21,19,2,8
2019/11/1,71,36,33,22,4,9
2019/11/2,64,18,17,21,8,9
2019/11/3,42,46,32,17,3,6
2019/11/4,85,57,31,31,4,14
2019/11/5,77,41,33,27,5,12
2019/11/6,52,49,29,22,3,10
2019/11/7,55,36,28,24,5,9
2019/11/8,41,23,23,17,3,7
2019/11/9,24,39,25,14,2,6
2019/11/10,62,54,34,20,5,10
2019/11/11,63,35,34,28,4,12
2019/11/12,46,50,37,19,4,7
2019/11/13,57,43,22,23,9,11
2019/11/14,56,40,35,26,3,10
2019/11/15,59,61,33,25,4,9
2019/11/16,93,50,33,29,11,11
2019/11/17,69,43,44,24,9,12
2019/11/18,61,55,51,29,4,11
2019/11/19,95,64,37,34,6,14
2019/11/20,89,71,24,35,,15
2019/11/21,106,68,27,33,7,12
2019/11/22,89,67,33,35,5,12
2019/11/23,86,58,44,33,9,12
2019/11/24,93,75,40,27,10,10
2019/11/25,111,67,54,39,6,14
2019/11/26,99,71,34,34,3,11
2019/11/27,96,76,41,33,4,14
2019/11/28,91,75,32,35,9,13
2019/11/29,110,69,35,34,12,14
2019/11/30,97,61,45,35,9,13
2019/12/1,76,53,34,28,4,12
2019/12/2,78,61,37,26,5,10
2019/12/3,82,67,35,29,9,11
2019/12/4,84,73,38,34,5,13
2019/12/5,91,70,49,36,5,13
2019/12/6,79,53,26,34,6,12
2019/12/7,86,63,37,28,6,9
2019/12/8,102,82,63,31,9,11
2019/12/9,107,80,44,42,8,17
2019/12/10,114,68,52,46,6,16
2019/12/11,111,65,53,33,4,11
2019/12/12,99,62,40,30,7,12
2019/12/13,82,72,33,34,7,14
